cut_id,T1,T2,T3,T4,nominal_risk,extreme_risk,nominal_g1,nominal_g2,nominal_g3,nominal_g4,extreme_g1,extreme_g2,extreme_g3,extreme_g4,active_path_ids,active_replica_rows,case_id,eta,design,risk_type,top_k,kappa,beta_ext
23,289.889354561167,140.584573979173,88.0345130183491,150,10112.1130256068,899141.407567379,-2.92177047689067,-2.80179299170493,-2.2862997415098,-5.62715657669146,0,0,0,0,617,95,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
24,292.53255354971,144.767182365882,84.7619927322879,150,10103.4991686582,899141.407567379,-1.9973490391524,-1.7469632481846,-2.29434376657953,-4.70925496055095,0,0,0,0,617,95,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
25,294.989934955618,139.488117808694,90.8467749777585,150,10094.7319781722,899141.407567379,-2.12340269847936,-2.01193122067658,-2.27792415406143,-4.83724844333692,0,0,0,0,617,95,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
26,295.991753549705,137.335963071924,93.3274025188581,150,10091.687788945,899141.407567379,-2.77887157272268,-2.9295116505013,-2.01084814023571,-5.62162754834976,0,0,0,0,617,95,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
27,296.198919737044,137.578166603982,93.1561518102951,150,10091.0390376823,899141.407567379,-1.99059988525029,-2.01333942787586,-2.01132081672466,-4.70549942492422,0,0,0,0,617,95,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
28,294.453689445502,138.894732873138,92.9367607990763,150,10092.391578573,899141.407567379,-2.91166989555018,-2.80043797034492,-2.14224533536521,-5.62480308644372,0,0,0,0,617,95,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
29,294.524022732419,138.929919667895,92.9019116176618,150,10092.1881045083,899141.407567379,-2.12339820807779,-2.01216628287253,-2.14224533536521,-4.83653139897133,0,0,0,0,617,95,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
30,294.602701903989,138.819276657501,93.0135631784209,150,10092.0067204118,899141.407567379,-1.99240909587796,-2.01235468612241,-2.01124974470079,-4.70555120280992,0,0,0,0,617,95,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
1,294.589913536808,138.832065024684,93.0093009300931,150,10092.0150377861,899141.407567379,-1.99240909587796,-1.75019405512395,-1.74927751695221,-4.70555120280992,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
2,0,0,0,0,263526.207166166,1215939.77579576,-1153.89684826365,-1157.8453906544,-1157.94971382097,-1156.1371816338,-2000,-2000,-2000,-2000,599,11,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
3,150,100,50,75,27550.3497419371,899141.407567379,-224.322883390432,-207.903122370441,-192.110598449505,-218.542239680648,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
4,300,200,100,150,10015.9395484092,899141.407567379,-1.46589971427304,-0.14077387067491,-1.06880721030722,-4.04937965382203,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
5,288.396432574072,0,0,150,23166.1889158726,1029375.66483921,-77.9815777511603,-176.598336672339,-259.149160280796,-73.7717693482719,0,-2000,-2000,0,607,49,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
6,300,0,45.7436352645927,150,16679.5944633593,954207.488048253,-52.0105652468841,-148.63138308936,-69.7498268127918,-56.42251022494,0,-2000,0,0,617,94,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
7,300,62.2974891664908,3.42582162180013,150,15032.3738820968,929389.069409747,-43.8751873351112,-62.1743452252203,-224.027019404099,-48.1887512930862,0,0,-2000,0,610,63,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
8,300,51.1930619843586,27.411384752471,150,13034.2176652955,899141.407567379,-38.7748331583105,-56.0458771224353,-54.2731601159844,-43.6767815217688,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
9,300,109.214251058104,18.5496525429843,150,11194.3476013788,899150.682967255,-18.8259019054561,-24.7749444650028,-37.3477544063226,-22.308074303149,0,0,-1997.53607341181,0,610,63,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
10,300,41.6242210320882,88.4197129271008,150,11276.9234225237,899141.407567379,-20.2621847225054,-34.0997531100592,-21.9639040118811,-23.9420544838603,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
11,300,94.414358954843,54.2755625031413,150,10618.2846856071,899141.407567379,-15.52048325005,-20.2010328167267,-19.3254603485935,-18.5741476706814,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
12,300,149.663695598398,18.5542959634461,150,10536.3330870761,899141.407567379,-2.66639683450211,-4.6881707008583,-20.3333945282754,-5.42895624005441,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
13,300,128.915817912472,40.3346648578415,150,10373.0632223371,899141.407567379,-3.70428068085838,-6.1404332413697,-8.53462856414031,-6.32688943800649,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
14,300,78.2304547334313,100,150,10392.0125592012,899141.407567379,-5.52789933941343,-9.47861533265908,-4.45609852949048,-7.88820305768412,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
15,300,114.526003258116,76.5161539452863,150,10228.7507111072,899141.407567379,-4.34642929272522,-6.03890934318564,-4.73041774900166,-6.94741385348923,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
16,300,146.78349527308,55.6450001156268,150,10188.0868972912,899141.407567379,-2.26027384361806,-2.82021763831987,-5.07083819838586,-4.72388951442523,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
17,300,131.842660345134,77.1391205474716,150,10142.3160619089,899141.407567379,-3.3009630950188,-4.12842964549031,-3.77137326162536,-5.88888550542952,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
18,300,144.053469083456,73.2054717079566,150,10121.4218629749,899141.407567379,-1.73390990835787,-1.7589838491574,-2.9976865806686,-4.58274946598627,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
19,300,133.993814476968,85.0368741897467,150,10109.2662501459,899141.407567379,-1.98921530305731,-2.28673911416342,-2.4324561800014,-4.96689408791266,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
20,292.560255718958,125.364910772261,100,150,10126.6572049717,899141.407567379,-3.17611261111595,-3.48445381242986,-1.87219426240289,-5.89018280624263,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
21,300,131.743313929842,95.0254012885564,150,10094.2361758639,899141.407567379,-2.64675774433935,-3.07124551306479,-1.88425317422681,-5.49352606075027,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
22,300,135.134355784346,92.3621934771331,150,10090.6348357528,899141.407567379,-1.85810705224607,-2.14655916091579,-2.14739666547089,-4.8324024342795,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
23,289.889354561167,140.584573979173,88.0345130183491,150,10112.1130256068,899141.407567379,-2.92177047689067,-2.80179299170493,-2.2862997415098,-5.62715657669146,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
24,292.53255354971,144.767182365882,84.7619927322879,150,10103.4991686582,899141.407567379,-1.9973490391524,-1.7469632481846,-2.29434376657953,-4.70925496055095,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
25,294.989934955618,139.488117808694,90.8467749777585,150,10094.7319781722,899141.407567379,-2.12340269847936,-2.01193122067658,-2.27792415406143,-4.83724844333692,0,0,0,0,617,95,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
