joint_state_index,a,loc,lfw,x_coord,y_coord,Vmax_mps,grid_max_wind_mps,grid_cumulative_excess_mps,road_max_wind_mps,road_cumulative_excess_mps
48,6,5,0,17,-89.9999703886,55.5,30.998275199576,127.576350405388,30.998275199576,3.59696227809504
49,1,6,0,33,-89.9999703886,0,0,0,0,0
50,2,6,0,33,-89.9999703886,20.8,11.2281066218692,0,11.2281066218692,0
51,3,6,0,33,-89.9999703886,28.55,15.4116559641521,0,15.4116559641521,0
52,4,6,0,33,-89.9999703886,37.05,20.0000649202044,0,20.0000649202044,0
53,5,6,0,33,-89.9999703886,46.2,24.9393522081902,0,24.9393522081902,0
54,6,6,0,33,-89.9999703886,55.5,29.9596114189297,99.7184597126226,29.9596114189297,0
55,1,7,0,50,-89.9999703886,0,0,0,0,0
56,2,7,0,50,-89.9999703886,20.8,10.7418857305704,0,10.7418857305704,0
57,3,7,0,50,-89.9999703886,28.55,14.7442710388359,0,14.7442710388359,0
58,4,7,0,50,-89.9999703886,37.05,19.1339839575786,0,19.1339839575786,0
59,5,7,0,50,-89.9999703886,46.2,23.8593808054016,0,23.8593808054016,0
60,6,7,0,50,-89.9999703886,55.5,28.6622431753202,65.2621047222165,28.6622431753202,0
61,1,8,0,67,-89.9999703886,0,0,0,0,0
62,2,8,0,67,-89.9999703886,20.8,10.2290412166645,0,10.2290412166645,0
63,3,8,0,67,-89.9999703886,28.55,14.0403426315275,0,14.0403426315275,0
64,4,8,0,67,-89.9999703886,37.05,18.2204796671837,0,18.2204796671837,0
65,5,8,0,67,-89.9999703886,46.2,22.7202742408606,0,22.7202742408606,0
66,6,8,0,67,-89.9999703886,55.5,27.2938359386962,29.5718270095211,27.2938359386962,0
67,1,9,0,84,-89.9999703886,0,0,0,0,0
68,2,9,0,84,-89.9999703886,20.8,9.7227187846792,0,9.7227187846792,0
69,3,9,0,84,-89.9999703886,28.55,13.3453664087784,0,13.3453664087784,0
70,4,9,0,84,-89.9999703886,37.05,17.3185928352098,0,17.3185928352098,0
71,5,9,0,84,-89.9999703886,46.2,21.5956542236625,0,21.5956542236625,0
72,6,9,0,84,-89.9999703886,55.5,25.9428313725815,6.47489092324258,25.9428313725815,0
73,1,10,0,101,-89.9999703886,0,0,0,0,0
74,2,10,0,101,-89.9999703886,20.8,9.24161971528381,0,9.24161971528381,0
75,3,10,0,101,-89.9999703886,28.55,12.6850116765073,0,12.6850116765073,0
76,4,10,0,101,-89.9999703886,37.05,16.4616351178493,0,16.4616351178493,0
77,5,10,0,101,-89.9999703886,46.2,20.5270591752939,0,20.5270591752939,0
78,6,10,0,101,-89.9999703886,55.5,24.6591295287621,0,24.6591295287621,0
79,1,-2,1,-101,-49.9999703886,0,0,0,0,0
80,2,-2,1,-101,-49.9999703886,20.8,12.9013778599313,0,12.9013778599313,0
81,3,-2,1,-101,-49.9999703886,28.55,17.7083816298576,0,17.7083816298576,0
82,4,-2,1,-101,-49.9999703886,37.05,22.9805793130026,0,22.9805793130026,0
83,5,-2,1,-101,-49.9999703886,46.2,28.6559450542705,30.5996951321357,28.6559450542705,0
84,6,-2,1,-101,-49.9999703886,55.5,34.4243495781821,192.115407742624,34.4243495781821,49.001318754391
85,1,-1,1,-84,-49.9999703886,0,0,0,0,0
86,2,-1,1,-84,-49.9999703886,20.8,13.9920497448436,0,13.9920497448436,0
87,3,-1,1,-84,-49.9999703886,28.55,19.2054336641964,0,19.2054336641964,0
88,4,-1,1,-84,-49.9999703886,37.05,24.9233386080027,0,24.9233386080027,0
89,5,-1,1,-84,-49.9999703886,46.2,31.0784951063354,86.567829421739,31.0784951063354,1.12895858307934
90,6,-1,1,-84,-49.9999703886,55.5,37.3345558095587,265.032782097544,37.3345558095587,137.009416312447
91,1,0,1,-67,-49.9999703886,0,0,0,0,0
92,2,0,1,-67,-49.9999703886,20.8,15.0418907021807,0,15.0418907021807,0
93,3,0,1,-67,-49.9999703886,28.55,20.6464413243874,0,20.6464413243874,0
94,4,0,1,-67,-49.9999703886,37.05,26.7933678132594,3.16312394383199,26.7933678132594,0
95,5,0,1,-67,-49.9999703886,46.2,33.4103533865744,148.319270780158,33.4103533865744,16.9828055017753
96,6,0,1,-67,-49.9999703886,55.5,40.1358141332225,339.214708404735,40.1358141332225,232.455628222427
97,1,1,1,-50,-49.9999703886,0,0,0,0,0
98,2,1,1,-50,-49.9999703886,20.8,15.79399638389,0,15.79399638389,0
99,3,1,1,-50,-49.9999703886,28.55,21.6787786903875,0,21.6787786903875,0
100,4,1,1,-50,-49.9999703886,37.05,28.1330560588041,16.8638569608646,28.1330560588041,0
101,5,1,1,-50,-49.9999703886,46.2,35.0808958142172,202.599567970125,35.0808958142172,64.3102465807174
102,6,1,1,-50,-49.9999703886,55.5,42.1426345820142,404.421558925149,42.1426345820142,316.233628438511
103,1,2,1,-33,-49.9999703886,0,0,0,0,0
104,2,2,1,-33,-49.9999703886,20.8,15.9725772518227,0,15.9725772518227,0
105,3,2,1,-33,-49.9999703886,28.55,21.9238981028624,0,21.9238981028624,0
106,4,2,1,-33,-49.9999703886,37.05,28.4511532298091,37.6994167883279,28.4511532298091,0
107,5,2,1,-33,-49.9999703886,46.2,35.4775513958754,236.916044821947,35.4775513958754,103.242030936838
108,6,2,1,-33,-49.9999703886,55.5,42.619136417123,445.645898000391,42.619136417123,369.503820158619
109,1,3,1,-17,-49.9999703886,0,0,0,0,0
110,2,3,1,-17,-49.9999703886,20.8,16.3082925665577,0,16.3082925665577,0
111,3,3,1,-17,-49.9999703886,28.55,22.3846996526549,0,22.3846996526549,0
112,4,3,1,-17,-49.9999703886,37.05,29.0491461341809,40.219141010148,29.0491461341809,0
113,5,3,1,-17,-49.9999703886,46.2,36.2232267584119,241.563623770641,36.2232267584119,108.575732660838
114,6,3,1,-17,-49.9999703886,55.5,43.5149152617285,451.22902855564,43.5149152617285,377.58415346794
115,1,4,1,0,-49.9999703886,0,0,0,0,0
116,2,4,1,0,-49.9999703886,20.8,15.9380621875536,0,15.9380621875536,0
117,3,4,1,0,-49.9999703886,28.55,21.8765228583969,0,21.8765228583969,0
118,4,4,1,0,-49.9999703886,37.05,28.3896732715799,24.5976174822489,28.3896732715799,0
119,5,4,1,0,-49.9999703886,46.2,35.4008881281239,215.654626944174,35.4008881281239,77.0709580596371
120,6,4,1,0,-49.9999703886,55.5,42.5270409331359,420.104584316053,42.5270409331359,337.788958573057
121,1,5,1,17,-49.9999703886,0,0,0,0,0
122,2,5,1,17,-49.9999703886,20.8,15.0061776812907,0,15.0061776812907,0
123,3,5,1,17,-49.9999703886,28.55,20.5974217692716,0,20.5974217692716,0
124,4,5,1,17,-49.9999703886,37.05,26.729753994799,7.90854074705886,26.729753994799,0
125,5,5,1,17,-49.9999703886,46.2,33.3310292728668,165.874015646031,33.3310292728668,30.04439312478
126,6,5,1,17,-49.9999703886,55.5,40.0405221784438,360.303200613738,40.0405221784438,260.970033394315
127,1,6,1,33,-49.9999703886,0,0,0,0,0
128,2,6,1,33,-49.9999703886,20.8,13.9272294436933,0,13.9272294436933,0
129,3,6,1,33,-49.9999703886,28.55,19.1164615681464,0,19.1164615681464,0
130,4,6,1,33,-49.9999703886,37.05,24.8078774465787,0,24.8078774465787,0
131,5,6,1,33,-49.9999703886,46.2,30.9345192451265,108.823678527161,30.9345192451265,3.78344324926038
132,6,6,1,33,-49.9999703886,55.5,37.1615977944702,291.768704724187,37.1615977944702,172.728773656295
133,1,7,1,50,-49.9999703886,0,0,0,0,0
134,2,7,1,50,-49.9999703886,20.8,12.7966700252718,0,12.7966700252718,0
135,3,7,1,50,-49.9999703886,28.55,17.5646600587265,0,17.5646600587265,0
136,4,7,1,50,-49.9999703886,37.05,22.7940684825154,0,22.7940684825154,0
137,5,7,1,50,-49.9999703886,46.2,28.4233728445942,48.015886313721,28.4233728445942,0
138,6,7,1,50,-49.9999703886,55.5,34.1449608847397,217.57505656048,34.1449608847397,78.1315866761326
139,1,8,1,67,-49.9999703886,0,0,0,0,0
140,2,8,1,67,-49.9999703886,20.8,11.7809182001565,0,11.7809182001565,0
141,3,8,1,67,-49.9999703886,28.55,16.170443010311,0,16.170443010311,0
142,4,8,1,67,-49.9999703886,37.05,20.9847605440288,0,20.9847605440288,0
143,5,8,1,67,-49.9999703886,46.2,26.1672317715015,8.971417746195,26.1672317715015,0
144,6,8,1,67,-49.9999703886,55.5,31.4346615436869,148.280890392828,31.4346615436869,14.890525504818
145,1,9,1,84,-49.9999703886,0,0,0,0,0
146,2,9,1,84,-49.9999703886,20.8,10.930091032332,0,10.930091032332,0
147,3,9,1,84,-49.9999703886,28.55,15.0026009121672,0,15.0026009121672,0
148,4,9,1,84,-49.9999703886,37.05,19.4692246513413,0,19.4692246513413,0
149,5,9,1,84,-49.9999703886,46.2,24.2774137352758,0,24.2774137352758,0
150,6,9,1,84,-49.9999703886,55.5,29.1644255910781,86.0493685933089,29.1644255910781,0
151,1,10,1,101,-49.9999703886,0,0,0,0,0
152,2,10,1,101,-49.9999703886,20.8,10.1960322930718,0,10.1960322930718,0
153,3,10,1,101,-49.9999703886,28.55,13.9950347099616,0,13.9950347099616,0
154,4,10,1,101,-49.9999703886,37.05,18.1616825220342,0,18.1616825220342,0
155,5,10,1,101,-49.9999703886,46.2,22.6469563432653,0,22.6469563432653,0
156,6,10,1,101,-49.9999703886,55.5,27.205759243533,32.316992261913,27.205759243533,0
157,1,-2,2,-101,-9.9999703886,0,0,0,0,0
158,2,-2,2,-101,-9.9999703886,20.8,15.2568501175522,0,15.2568501175522,0
159,3,-2,2,-101,-9.9999703886,28.55,20.9414937911594,0,20.9414937911594,0
160,4,-2,2,-101,-9.9999703886,37.05,27.1762642718899,7.64206527448939,27.1762642718899,0
161,5,-2,2,-101,-9.9999703886,46.2,33.8878113187939,150.817714463654,33.8878113187939,28.8014376710554
162,6,-2,2,-101,-9.9999703886,55.5,40.7093837271225,342.216085556987,40.7093837271225,235.993351504226
163,1,-1,2,-84,-9.9999703886,0,0,0,0,0
164,2,-1,2,-84,-9.9999703886,20.8,17.914713537352,0,17.914713537352,0
165,3,-1,2,-84,-9.9999703886,28.55,24.589666898625,0,24.589666898625,0
166,4,-1,2,-84,-9.9999703886,37.05,31.9105834884083,65.8892634927125,31.9105834884083,2.77531866278155
167,5,-1,2,-84,-9.9999703886,46.2,39.7913348762338,275.162129714647,39.7913348762338,151.297046070151
168,6,-1,2,-84,-9.9999703886,55.5,47.8012789097614,491.590870111751,47.8012789097614,428.374568770571
169,1,0,2,-67,-9.9999703886,0,0,0,0,0
170,2,0,2,-67,-9.9999703886,20.8,20.3013254525305,0,20.3013254525305,0
171,3,0,2,-67,-9.9999703886,28.55,27.8655212341225,12.7050637035972,27.8655212341225,0
172,4,0,2,-67,-9.9999703886,37.05,36.16173596232,190.53433822127,36.16173596232,67.1150337233772
173,5,0,2,-67,-9.9999703886,46.2,45.0923671109092,435.160227417616,45.0923671109092,358.897463772163
174,6,0,2,-67,-9.9999703886,55.5,54.1694020488195,683.796377092591,54.1694020488195,678.740459726299
175,1,1,2,-50,-9.9999703886,0,0,0,0,0
176,2,1,2,-50,-9.9999703886,20.8,20.703909957764,0,20.703909957764,0
177,3,1,2,-50,-9.9999703886,28.55,28.4181071776039,48.8118107908476,28.4181071776039,0
178,4,1,2,-50,-9.9999703886,37.05,36.878839612267,275.747805692285,36.878839612267,153.570111568169
179,5,1,2,-50,-9.9999703886,46.2,45.9865692331103,539.444299329596,45.9865692331103,484.302701720274
180,6,1,2,-50,-9.9999703886,55.5,55.2436058969182,809.072697246592,55.2436058969182,828.428656728204
181,1,2,2,-33,-9.9999703886,0,0,0,0,0
182,2,2,2,-33,-9.9999703886,20.8,20.4571223581157,0,20.4571223581157,0
183,3,2,2,-33,-9.9999703886,28.55,28.0793674675098,15.0168878102816,28.0793674675098,0
184,4,2,2,-33,-9.9999703886,37.05,36.4392492003936,181.621924810968,36.4392492003936,72.2726358761838
185,5,2,2,-33,-9.9999703886,46.2,45.4384160069686,413.404657346445,45.4384160069686,327.223956081001
186,6,2,2,-33,-9.9999703886,55.5,54.5851101382414,657.66143902008,54.5851101382414,633.034329731576
187,1,3,2,-17,-9.9999703886,0,0,0,0,0
188,2,3,2,-17,-9.9999703886,20.8,20.7886654540691,0,20.7886654540691,0
189,3,3,2,-17,-9.9999703886,28.55,28.5344422458497,22.9581175930917,28.5344422458497,0
190,4,3,2,-17,-9.9999703886,37.05,37.0298103400606,175.08494155433,37.0298103400606,73.751345462181
191,5,3,2,-17,-9.9999703886,46.2,46.1748242297112,396.560715477109,46.1748242297112,307.206573816212
192,6,3,2,-17,-9.9999703886,55.5,55.4697563798479,635.144530160434,55.4697563798479,595.339452969932
193,1,4,2,0,-9.9999703886,0,0,0,0,0
194,2,4,2,0,-9.9999703886,20.8,20.703909957764,0,20.703909957764,0
195,3,4,2,0,-9.9999703886,28.55,28.4181071776039,47.1008100749139,28.4181071776039,0
196,4,4,2,0,-9.9999703886,37.05,36.878839612267,253.209683945313,36.878839612267,147.519867609858
197,5,4,2,0,-9.9999703886,46.2,45.9865692331103,512.399894260381,45.9865692331103,447.743827606426
198,6,4,2,0,-9.9999703886,55.5,55.2436058969182,776.584288559548,55.2436058969182,785.471481215512
199,1,5,2,17,-9.9999703886,0,0,0,0,0
200,2,5,2,17,-9.9999703886,20.8,20.6928568378098,0,20.6928568378098,0
201,3,5,2,17,-9.9999703886,28.55,28.4029357076668,29.8078038693239,28.4029357076668,0
202,4,5,2,17,-9.9999703886,37.05,36.8591512423487,238.89638277077,36.8591512423487,115.17283170553
203,5,5,2,17,-9.9999703886,46.2,45.9620185532121,495.465934791082,45.9620185532121,439.262881829328
204,6,5,2,17,-9.9999703886,55.5,55.2141131970405,756.241545041235,55.2141131970405,775.283332067699
205,1,6,2,33,-9.9999703886,0,0,0,0,0
206,2,6,2,33,-9.9999703886,20.8,17.6964568170412,0,17.6964568170412,0
207,3,6,2,33,-9.9999703886,28.55,24.2900885637752,0,24.2900885637752,0
208,4,6,2,33,-9.9999703886,37.05,31.5218137053546,105.112047134934,31.5218137053546,11.2807666999215
209,5,6,2,33,-9.9999703886,46.2,39.3065531224664,328.272799487401,39.3065531224664,221.223028949118
210,6,6,2,33,-9.9999703886,55.5,47.2189112185473,555.392648734865,47.2189112185473,513.352339971343
211,1,7,2,50,-9.9999703886,0,0,0,0,0
212,2,7,2,50,-9.9999703886,20.8,15.1805372870641,0,15.1805372870641,0
213,3,7,2,50,-9.9999703886,28.55,20.8367470935423,0,20.8367470935423,0
214,4,7,2,50,-9.9999703886,37.05,27.0403320425829,17.6493496240982,27.0403320425829,0
215,5,7,2,50,-9.9999703886,46.2,33.7183087818443,190.877528461635,33.7183087818443,57.5976326937268
216,6,7,2,50,-9.9999703886,55.5,40.5057605496181,390.339888087029,40.5057605496181,299.782768792514
217,1,8,2,67,-9.9999703886,0,0,0,0,0
218,2,8,2,67,-9.9999703886,20.8,13.3710540807235,0,13.3710540807235,0
219,3,8,2,67,-9.9999703886,28.55,18.35305740407,0,18.35305740407,0
220,4,8,2,67,-9.9999703886,37.05,23.8171900812887,0,23.8171900812887,0
221,5,8,2,67,-9.9999703886,46.2,29.69916819853,86.9706345019685,29.69916819853,0
222,6,8,2,67,-9.9999703886,55.5,35.6775721865458,265.5166713173,35.6775721865458,138.567544601235
223,1,9,2,84,-9.9999703886,0,0,0,0,0
224,2,9,2,84,-9.9999703886,20.8,12.0161730295368,0,12.0161730295368,0
225,3,9,2,84,-9.9999703886,28.55,16.493352884292,0,16.493352884292,0
226,4,9,2,84,-9.9999703886,37.05,21.4038082088624,0,21.4038082088624,0
227,5,9,2,84,-9.9999703886,46.2,26.6897689406057,18.4082840373903,26.6897689406057,0
228,6,9,2,84,-9.9999703886,55.5,32.062384766312,168.506366710655,32.062384766312,30.4911723335932
229,1,10,2,101,-9.9999703886,0,0,0,0,0
230,2,10,2,101,-9.9999703886,20.8,10.9630702676242,0,10.9630702676242,0
231,3,10,2,101,-9.9999703886,28.55,15.0478680836861,0,15.0478680836861,0
232,4,10,2,101,-9.9999703886,37.05,19.5279689142056,0,19.5279689142056,0
233,5,10,2,101,-9.9999703886,46.2,24.3506656905883,0,24.3506656905883,0
234,6,10,2,101,-9.9999703886,55.5,29.2524230698626,91.0139065044922,29.2524230698626,0
235,1,-2,3,-101,30.0000296114,0,0,0,0,0
236,2,-2,3,-101,30.0000296114,20.8,16.074837652781,0,16.074837652781,0
237,3,-2,3,-101,30.0000296114,28.55,22.0642603359086,0,22.0642603359086,0
238,4,-2,3,-101,30.0000296114,37.05,28.6333045690162,24.3869105365871,28.6333045690162,0
239,5,-2,3,-101,30.0000296114,46.2,35.7046874787732,195.517885128101,35.7046874787732,63.496965488106
240,6,-2,3,-101,30.0000296114,55.5,42.8919946985263,395.914342524018,42.8919946985263,305.880697999612
241,1,-1,3,-84,30.0000296114,0,0,0,0,0
242,2,-1,3,-84,30.0000296114,20.8,19.4758378490861,0,19.4758378490861,0
243,3,-1,3,-84,30.0000296114,28.55,26.7324601245869,3.78362460559264,26.7324601245869,0
244,4,-1,3,-84,30.0000296114,37.05,34.6913361686846,127.321657446156,34.6913361686846,32.7589950726156
245,5,-1,3,-84,30.0000296114,46.2,43.2588321455662,356.33631778711,43.2588321455662,255.949262345163
246,6,-1,3,-84,30.0000296114,55.5,51.9667788761672,589.105316822178,51.9667788761672,555.068919051007
247,1,0,3,-67,30.0000296114,0,0,0,0,0
248,2,0,3,-67,30.0000296114,20.8,20.4159672830869,0,20.4159672830869,0
249,3,0,3,-67,30.0000296114,28.55,28.022878169814,19.6584471295392,28.022878169814,0
250,4,0,3,-67,30.0000296114,37.05,36.3659417229986,225.234372467654,36.3659417229986,97.4143030855924
251,5,0,3,-67,30.0000296114,46.2,45.3470042537796,478.42990574914,45.3470042537796,414.864156951275
252,6,0,3,-67,30.0000296114,55.5,54.4752973178521,735.776185477862,54.4752973178521,745.973175558349
253,1,1,3,-50,30.0000296114,0,0,0,0,0
254,2,1,3,-50,30.0000296114,20.8,20.7972926228444,0,20.7972926228444,0
255,3,1,3,-50,30.0000296114,28.55,28.5462838645292,21.3465630286783,28.5462838645292,0
256,4,1,3,-50,30.0000296114,37.05,37.0451774844416,134.500943131533,37.0451774844416,63.4147373474823
257,5,1,3,-50,30.0000296114,46.2,46.1939864988178,297.63656479376,46.1939864988178,228.159551347312
258,6,1,3,-50,30.0000296114,55.5,55.4927759888396,485.489638510593,55.4927759888396,436.507644313417
259,1,2,3,-33,30.0000296114,0,0,0,0,0
260,2,2,3,-33,30.0000296114,20.8,12.517594205467,0,12.517594205467,0
261,3,2,3,-33,30.0000296114,28.55,17.1816016618308,0,17.1816016618308,0
262,4,2,3,-33,30.0000296114,37.05,22.296964678488,0,22.296964678488,0
263,5,2,3,-33,30.0000296114,46.2,27.803502514066,13.3175894463952,27.803502514066,0
264,6,2,3,-33,30.0000296114,55.5,33.4003114617027,65.8156560868817,33.4003114617027,17.4304201836369
265,1,3,3,-17,30.0000296114,0,0,0,0,0
266,2,3,3,-17,30.0000296114,20.8,11.7336111803043,0,11.7336111803043,0
267,3,3,3,-17,30.0000296114,28.55,16.1055095768119,0,16.1055095768119,0
268,4,3,3,-17,30.0000296114,37.05,20.9004949149171,0,20.9004949149171,0
269,5,3,3,-17,30.0000296114,46.2,26.0621556024067,1.06215560240672,26.0621556024067,0
270,6,3,3,-17,30.0000296114,55.5,31.3084336782159,15.7811061304173,31.3084336782159,1.30843367821586
271,1,4,3,0,30.0000296114,0,0,0,0,0
272,2,4,3,0,30.0000296114,20.8,19.0690333087591,0,19.0690333087591,0
273,3,4,3,0,30.0000296114,28.55,26.1740817771669,2.29662233889031,26.1740817771669,0
274,4,4,3,0,30.0000296114,37.05,33.9667155812271,62.1106256345583,33.9667155812271,18.2274998562898
275,5,4,3,0,30.0000296114,46.2,42.355256676186,159.228886415249,42.355256676186,107.157711988715
276,6,4,3,0,30.0000296114,55.5,50.8813148382754,293.713738577305,50.8813148382754,230.169660008569
277,1,5,3,17,30.0000296114,0,0,0,0,0
278,2,5,3,17,30.0000296114,20.8,20.4332427148551,0,20.4332427148551,0
279,3,5,3,17,30.0000296114,28.55,28.0465903610151,23.0595033266645,28.0465903610151,0
280,4,5,3,17,30.0000296114,37.05,36.3967135858357,224.944308396354,36.3967135858357,106.216376068555
281,5,5,3,17,30.0000296114,46.2,45.3853756454956,478.068206421365,45.3853756454956,403.180045788899
282,6,5,3,17,30.0000296114,55.5,54.5213928208875,735.341676545146,54.5213928208875,731.937067993158
283,1,6,3,33,30.0000296114,0,0,0,0,0
284,2,6,3,33,30.0000296114,20.8,19.9144967297441,0,19.9144967297441,0
285,3,6,3,33,30.0000296114,28.55,27.3345616170286,11.3115099699527,27.3345616170286,0
286,4,6,3,33,30.0000296114,37.05,35.4726972998567,186.512336192141,35.4726972998567,71.4251731985985
287,5,6,3,33,30.0000296114,46.2,44.2331610054894,430.144937437974,44.2331610054894,353.660581138975
288,6,6,3,33,30.0000296114,55.5,53.1372388702307,677.77151575341,53.1372388702307,672.449399420197
289,1,7,3,50,30.0000296114,0,0,0,0,0
290,2,7,3,50,30.0000296114,20.8,16.3073521972625,0,16.3073521972625,0
291,3,7,3,50,30.0000296114,28.55,22.3834089053771,0,22.3834089053771,0
292,4,7,3,50,30.0000296114,37.05,29.0474711013738,48.296208592758,29.0474711013738,0
293,5,7,3,50,30.0000296114,46.2,36.221138053535,244.802768196566,36.221138053535,116.372252114906
294,6,7,3,50,30.0000296114,55.5,43.5124061032725,455.120208547823,43.5124061032725,383.873261225072
295,1,8,3,67,30.0000296114,0,0,0,0,0
296,2,8,3,67,30.0000296114,20.8,14.0407283298235,0,14.0407283298235,0
297,3,8,3,67,30.0000296114,28.55,19.2722497027145,0,19.2722497027145,0
298,4,8,3,67,30.0000296114,37.05,25.0100473374982,0.0100473374981718,25.0100473374982,0
299,5,8,3,67,30.0000296114,46.2,31.1866177325888,119.025783290383,31.1866177325888,7.26837990054838
300,6,8,3,67,30.0000296114,55.5,37.464443380058,304.024479926759,37.464443380058,188.586007295287
301,1,9,3,84,30.0000296114,0,0,0,0,0
302,2,9,3,84,30.0000296114,20.8,12.4569688665548,0,12.4569688665548,0
303,3,9,3,84,30.0000296114,28.55,17.0983875548144,0,17.0983875548144,0
304,4,9,3,84,30.0000296114,37.05,22.1889757935507,0,22.1889757935507,0
305,5,9,3,84,30.0000296114,46.2,27.6688443093669,33.7089890122545,27.6688443093669,0
306,6,9,3,84,30.0000296114,55.5,33.2385467352784,193.360494073304,33.2385467352784,55.1396874702364
307,1,10,3,101,30.0000296114,0,0,0,0,0
308,2,10,3,101,30.0000296114,20.8,11.2745235948268,0,11.2745235948268,0
309,3,10,3,101,30.0000296114,28.55,15.475367722707,0,15.475367722707,0
310,4,10,3,101,30.0000296114,37.05,20.0827451532852,0,20.0827451532852,0
311,5,10,3,101,30.0000296114,46.2,25.0424514462018,0.0701025265071387,25.0424514462018,0
312,6,10,3,101,30.0000296114,55.5,30.0834643996581,108.060776539866,30.0834643996581,0.316077938301955
