island_buses,eligible_real_roots,selected_topological_root,actual_injecting_sources,root_uniqueness,one_topological_root,case,interval_start_h,interval_end_h
[24],[24],24,"[""FC-1""]",True,True,CASE-10_POST,3.0,3.5
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]",[1],1,"[""UTILITY-BUS-1""]",True,True,CASE-10_PRE,0.0,1.0
[24],[],VIRTUAL_ROOT,[],True,True,CASE-10_PRE,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]",[1],1,"[""UTILITY-BUS-1""]",True,True,CASE-10_PRE,1.0,1.2166666666667
[24],[],VIRTUAL_ROOT,[],True,True,CASE-10_PRE,1.0,1.2166666666667
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-14_FRAMEWORK,0.0,1.0
[24],[24],24,"[""FC-1""]",True,True,CASE-14_FRAMEWORK,0.0,1.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-14_FRAMEWORK,1.0,2.0
[24],[24],24,"[""FC-1""]",True,True,CASE-14_FRAMEWORK,1.0,2.0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33]","[1, 14, 18, 31]",1,"[""UTILITY-BUS-1""]",True,True,CASE-14_FRAMEWORK,2.0,3.5
[24],[24],24,"[""FC-1""]",True,True,CASE-14_FRAMEWORK,2.0,3.5
