method,path_id,decision_stage,current_k,current_a,current_loc,current_lf,node_oos_path_count,node_oos_frequency,future_terminal_state_count,realized_terminal_state_probability,conditional_max_site_target_range_kg,completed_backward_iterations,saved_cut_count,last_forward_node_match,last_envelope_update_iteration,training_node_visit_count_available,training_node_visit_count,training_node_visit_frequency,node_oos_frequency_is_not_training_frequency,one_shared_cut_per_completed_backward_iteration,training_coverage_judgment,logged_iteration_count,final_lb,last_50_iteration_lb_gain,last_100_iteration_lb_gain,last_200_iteration_lb_gain
saa,1529,5,214,4,6,6,8,0.0008,3,0.125,51.1843731811012,1112,1112,0,746,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1113,19196.37356,1.22445199999856,1.82189300000027,8.34218200000032
saa,2134,5,197,4,4,5,12,0.0012,8,0.166666666666667,63.3102267711805,1112,1112,0,796,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1113,19196.37356,1.22445199999856,1.82189300000027,8.34218200000032
saa,5371,5,69,2,2,5,104,0.0104,13,0.0096153846153846,234.531627132872,1112,1112,0,1028,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1113,19196.37356,1.22445199999856,1.82189300000027,8.34218200000032
saa,5371,6,142,3,4,6,13,0.0013,8,0.0769230769230769,242.490845037318,1112,1112,0,214,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1113,19196.37356,1.22445199999856,1.82189300000027,8.34218200000032
saa,8092,5,125,3,2,5,20,0.002,12,0.05,252.702273520957,1112,1112,0,347,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1113,19196.37356,1.22445199999856,1.82189300000027,8.34218200000032
saa,8092,6,126,3,2,6,16,0.0016,8,0.0625,186.853282195031,1112,1112,0,308,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1113,19196.37356,1.22445199999856,1.82189300000027,8.34218200000032
saa,8289,5,181,4,2,5,12,0.0012,7,0.166666666666667,62.2035013267479,1112,1112,0,653,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1113,19196.37356,1.22445199999856,1.82189300000027,8.34218200000032
saa,8650,5,222,4,7,6,33,0.0033,9,0.0606060606060606,109.078997891597,1112,1112,0,746,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1113,19196.37356,1.22445199999856,1.82189300000027,8.34218200000032
saa,9095,5,221,4,7,5,9,0.0009,5,0.111111111111111,84.7966504203596,1112,1112,0,571,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1113,19196.37356,1.22445199999856,1.82189300000027,8.34218200000032
saa,9913,5,182,4,2,6,32,0.0032,8,0.09375,97.4045608970722,1112,1112,0,653,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1113,19196.37356,1.22445199999856,1.82189300000027,8.34218200000032
chi2_eta003,1529,5,214,4,6,6,8,0.0008,3,0.125,51.1843731811012,1198,1198,0,215,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1199,22503.127612,2.85786000000007,3.91861000000063,8.72854500000176
chi2_eta003,2134,5,197,4,4,5,12,0.0012,8,0.166666666666667,63.3102267711805,1198,1198,0,746,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1199,22503.127612,2.85786000000007,3.91861000000063,8.72854500000176
chi2_eta003,5371,5,69,2,2,5,104,0.0104,13,0.0096153846153846,234.531627132872,1198,1198,0,939,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1199,22503.127612,2.85786000000007,3.91861000000063,8.72854500000176
chi2_eta003,5371,6,142,3,4,6,13,0.0013,8,0.0769230769230769,242.490845037318,1198,1198,0,397,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1199,22503.127612,2.85786000000007,3.91861000000063,8.72854500000176
chi2_eta003,8092,5,125,3,2,5,20,0.002,12,0.05,252.702273520957,1198,1198,0,911,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1199,22503.127612,2.85786000000007,3.91861000000063,8.72854500000176
chi2_eta003,8092,6,126,3,2,6,16,0.0016,8,0.0625,186.853282195031,1198,1198,0,543,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1199,22503.127612,2.85786000000007,3.91861000000063,8.72854500000176
chi2_eta003,8289,5,181,4,2,5,12,0.0012,7,0.166666666666667,62.2035013267479,1198,1198,0,800,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1199,22503.127612,2.85786000000007,3.91861000000063,8.72854500000176
chi2_eta003,8650,5,222,4,7,6,33,0.0033,9,0.0606060606060606,109.078997891597,1198,1198,0,397,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1199,22503.127612,2.85786000000007,3.91861000000063,8.72854500000176
chi2_eta003,9095,5,221,4,7,5,9,0.0009,5,0.111111111111111,84.7966504203596,1198,1198,0,187,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1199,22503.127612,2.85786000000007,3.91861000000063,8.72854500000176
chi2_eta003,9913,5,182,4,2,6,32,0.0032,8,0.09375,97.4045608970722,1198,1198,0,324,False,,,True,True,exact_visit_history_unavailable_static_OOS_frequency_only,1199,22503.127612,2.85786000000007,3.91861000000063,8.72854500000176
