a0,loc0,lfw0,seed_id,base_seed,derived_seed,N,contains_a6_path_count,no_a6_path_count,non_a6_exact_pass,selected_path_id_sha256,permutation_sha256,line_resistance_u_sha256,road_resistance_u_sha256
5,4,0,1,20260723,22760798,2000,31,1969,1,bc9b479626af3cc36a3cc57196ddf1b9261b2135107dd4023221b4e5201a36fa,bc9b479626af3cc36a3cc57196ddf1b9261b2135107dd4023221b4e5201a36fa,ae2e2b6fd002b363398bdc648ad57fa41ac84d6d04c663416361181b5f9d422c,9ab0c5054a904b31af2e5826b909603389ef2cc9916b3d6f601fd7273dda59e5
2,6,0,1,20260723,20860741,2000,0,2000,1,b448f649b66ef7f43a5f6243928c2b4c2466d009ba470fde4c44882a849a46b0,b448f649b66ef7f43a5f6243928c2b4c2466d009ba470fde4c44882a849a46b0,9f79b129912981d1c61c6fbcd93007fb7991f71b887a8f9382b5e1b7d1332357,1e525c192b1880996548970cbf97cffbc063fc64f6f8b39c6d7056246b4bc4e9
2,1,0,1,20260723,20360726,2000,1,1999,1,1503cd0a6825f5c9bb2d01d28ab866daec88ed1a4ce64b866ec413c85d3a966a,1503cd0a6825f5c9bb2d01d28ab866daec88ed1a4ce64b866ec413c85d3a966a,54809bb70c6da9943650e10d0e602dba01d26b13a78738483fdffbfa64a848eb,0ef90488cc0773898aa410c5f9e94366340e997da1689b056975a1a3c154c711
4,4,0,1,20260723,22060777,2000,24,1976,1,a3d014dc0a3953e14f25fda05c2cf92d0f04702c3ae894e1b280dd1b26c47b09,a3d014dc0a3953e14f25fda05c2cf92d0f04702c3ae894e1b280dd1b26c47b09,5b1cee65427c9f37a273f598faf35940e1fe1bb09b125c4e5e4fa5caaef1529a,0f6e805b2150fd0433a4a15c30b220e3253afeb1e3328381e99972dc93c6e52d
6,7,0,1,20260723,23760828,2000,755,1245,1,b0df3ca940b911aa6a1d35dd452050eba52d7d669ab5157544501b0e07dca653,b0df3ca940b911aa6a1d35dd452050eba52d7d669ab5157544501b0e07dca653,d2cf0e54250ccc06c8489fc4ec228f3c37a117bf2dc7f785e8b1a2998e7faeeb,f3f40ca42afe62d151bab5610bf2f880ccb3afe4bec7b131414a3f2bfdf71848
5,4,0,2,20260724,22760799,2000,33,1967,1,4598cdcf54863d05e5426a9f552c0b8475b096218ba787627acdb9141199b98e,4598cdcf54863d05e5426a9f552c0b8475b096218ba787627acdb9141199b98e,eb827007a165dfd17326c62670398d73d0e0da79530ecd13e23ed72d49c10a6b,5fe84eb5afcda9970e980cc275a5349a821bf9aa69d23ec66a3337b00c784d25
2,6,0,2,20260724,20860742,2000,0,2000,1,190236369412fec6d13440224c207737bd15ab12abad437c15eea17fd846de95,190236369412fec6d13440224c207737bd15ab12abad437c15eea17fd846de95,939e6397aaca44902bec18d218d93aae981d1824821f4215e6633dcd8093438c,42cf766abfc4a2bf581c4b479137e26edf1ee67f92c3e3c736e8ee07db5608cb
2,1,0,2,20260724,20360727,2000,1,1999,1,b1c0f39c0825c4f55b0764a592406c7492ed3c49ff5f6d90710ada87ae31f9eb,b1c0f39c0825c4f55b0764a592406c7492ed3c49ff5f6d90710ada87ae31f9eb,f446ab867ace6648214e56673c38c2fe1534de8f8bbe422eb80305480a32de3f,ab1639b6279bba43bc20c5df99fe060c809802c88befe9947b2d79fd8c15cc3e
4,4,0,2,20260724,22060778,2000,26,1974,1,26a9e3a12f332c91ad72c9072d140ba5e9209588449cb1fc264f5804da613d16,26a9e3a12f332c91ad72c9072d140ba5e9209588449cb1fc264f5804da613d16,56617cb2b87c0bebc7b7806b31029ea80f7d2256826aa83b752adff0942129d5,05149608cd63c176b655574b5a1cd1c2c98f7b3ed004816f4713fddfb3c9fd22
6,7,0,2,20260724,23760829,2000,769,1231,1,9d543724fb2dda17f822cdec84ab8b5cee922015f834029edc0a31c6fc3a79b9,9d543724fb2dda17f822cdec84ab8b5cee922015f834029edc0a31c6fc3a79b9,739d424699fc113279983b8ab621877c3b42f3fdc83e6f2b983ac1c3a32f7d3f,80992fa57c9c93fa9da4f4c84e8d940225b36729409e4c5598a676364e7aaddd
