path_id,path_type,t,k,a,loc,lf,status,from_site,to_site,f_ij,distance_km,base_cost_per_kg,beta,beta_adjusted_cost_per_kg,edge_transport_cost
986,H02_saa,1,65,2,2,1,normal,1,2,0,28.2276208210645,5.64552416421289,0,5.64552416421289,0
986,H02_saa,1,65,2,2,1,normal,1,3,0,28.2276208210645,5.64552416421289,0,5.64552416421289,0
986,H02_saa,1,65,2,2,1,normal,1,4,0,24.3883468749663,4.87766937499326,0,4.87766937499326,0
986,H02_saa,1,65,2,2,1,normal,2,1,0,28.2276208210645,5.64552416421289,0,5.64552416421289,0
986,H02_saa,1,65,2,2,1,normal,2,3,0,8,1.6,0,1.6,0
986,H02_saa,1,65,2,2,1,normal,2,4,0,22.9939521853426,4.59879043706853,0,4.59879043706853,0
986,H02_saa,1,65,2,2,1,normal,3,1,0,28.2276208210645,5.64552416421289,0,5.64552416421289,0
986,H02_saa,1,65,2,2,1,normal,3,2,0,8,1.6,0,1.6,0
986,H02_saa,1,65,2,2,1,normal,3,4,0,27.1343920149121,5.42687840298242,0,5.42687840298242,0
986,H02_saa,1,65,2,2,1,normal,4,1,0,24.3883468749663,4.87766937499326,0,4.87766937499326,0
986,H02_saa,1,65,2,2,1,normal,4,2,0,22.9939521853426,4.59879043706853,0,4.59879043706853,0
986,H02_saa,1,65,2,2,1,normal,4,3,0,27.1343920149121,5.42687840298242,0,5.42687840298242,0
986,H02_saa,2,83,2,4,3,normal,1,2,0,28.2276208210645,5.64552416421289,0.0471428571428571,6.17781644255297,0
986,H02_saa,2,83,2,4,3,normal,1,3,0,28.2276208210645,5.64552416421289,0.0471428571428571,6.17781644255297,0
986,H02_saa,2,83,2,4,3,normal,1,4,0,24.3883468749663,4.87766937499326,0.0471428571428571,5.33756391606405,0
986,H02_saa,2,83,2,4,3,normal,2,1,0,28.2276208210645,5.64552416421289,0.0471428571428571,6.17781644255297,0
986,H02_saa,2,83,2,4,3,normal,2,3,0,8,1.6,0.0471428571428571,1.75085714285714,0
986,H02_saa,2,83,2,4,3,normal,2,4,0,22.9939521853426,4.59879043706853,0.0471428571428571,5.03239067827784,0
986,H02_saa,2,83,2,4,3,normal,3,1,0,28.2276208210645,5.64552416421289,0.0471428571428571,6.17781644255297,0
986,H02_saa,2,83,2,4,3,normal,3,2,0,8,1.6,0.0471428571428571,1.75085714285714,0
986,H02_saa,2,83,2,4,3,normal,3,4,0,27.1343920149121,5.42687840298242,0.0471428571428571,5.93855550954933,0
986,H02_saa,2,83,2,4,3,normal,4,1,0,24.3883468749663,4.87766937499326,0.0471428571428571,5.33756391606405,0
986,H02_saa,2,83,2,4,3,normal,4,2,0,22.9939521853426,4.59879043706853,0.0471428571428571,5.03239067827784,0
986,H02_saa,2,83,2,4,3,normal,4,3,0,27.1343920149121,5.42687840298242,0.0471428571428571,5.93855550954933,0
986,H02_saa,3,109,2,7,5,normal,1,2,0,28.2276208210645,5.64552416421289,0.114285714285714,6.93592968746156,0
986,H02_saa,3,109,2,7,5,normal,1,3,0,28.2276208210645,5.64552416421289,0.114285714285714,6.93592968746156,0
986,H02_saa,3,109,2,7,5,normal,1,4,0,24.3883468749663,4.87766937499326,0.114285714285714,5.99256523213457,0
